date,model,type,price,amount
2026-06-09,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,246039552
2026-06-09,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1422837
2026-06-09,deepseek-v4-pro,request_count,,1293
2026-06-09,deepseek-v4-pro,output_tokens,0.000006,516781
2026-06-09,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,518528
2026-06-09,deepseek-v4-flash,input_cache_miss_tokens,0.000001,132518
2026-06-09,deepseek-v4-flash,request_count,,23
2026-06-09,deepseek-v4-flash,output_tokens,0.000002,49152
2026-06-10,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,201983104
2026-06-10,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2582684
2026-06-10,deepseek-v4-pro,request_count,,1005
2026-06-10,deepseek-v4-pro,output_tokens,0.000006,601846
2026-06-10,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,1131520
2026-06-10,deepseek-v4-flash,input_cache_miss_tokens,0.000001,366508
2026-06-10,deepseek-v4-flash,request_count,,22
2026-06-10,deepseek-v4-flash,output_tokens,0.000002,25161
2026-06-11,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,188349824
2026-06-11,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1952741
2026-06-11,deepseek-v4-pro,request_count,,914
2026-06-11,deepseek-v4-pro,output_tokens,0.000006,495963
2026-06-11,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,7447808
2026-06-11,deepseek-v4-flash,input_cache_miss_tokens,0.000001,949926
2026-06-11,deepseek-v4-flash,request_count,,195
2026-06-11,deepseek-v4-flash,output_tokens,0.000002,222341
2026-06-12,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,273550976
2026-06-12,deepseek-v4-pro,input_cache_miss_tokens,0.000003,3091538
2026-06-12,deepseek-v4-pro,request_count,,1172
2026-06-12,deepseek-v4-pro,output_tokens,0.000006,493261
2026-06-12,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,2076160
2026-06-12,deepseek-v4-flash,input_cache_miss_tokens,0.000001,585566
2026-06-12,deepseek-v4-flash,request_count,,71
2026-06-12,deepseek-v4-flash,output_tokens,0.000002,108347
2026-06-13,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,290909184
2026-06-13,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1744923
2026-06-13,deepseek-v4-pro,request_count,,1129
2026-06-13,deepseek-v4-pro,output_tokens,0.000006,606243
2026-06-13,deepseek-v4-flash,input_cache_miss_tokens,0.000001,14741
2026-06-13,deepseek-v4-flash,request_count,,6
2026-06-13,deepseek-v4-flash,output_tokens,0.000002,5404
2026-06-14,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,505556352
2026-06-14,deepseek-v4-pro,input_cache_miss_tokens,0.000003,3752737
2026-06-14,deepseek-v4-pro,request_count,,1940
2026-06-14,deepseek-v4-pro,output_tokens,0.000006,823889
2026-06-14,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,3383936
2026-06-14,deepseek-v4-flash,input_cache_miss_tokens,0.000001,506974
2026-06-14,deepseek-v4-flash,request_count,,84
2026-06-14,deepseek-v4-flash,output_tokens,0.000002,122148
2026-06-15,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,359784064
2026-06-15,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2932749
2026-06-15,deepseek-v4-pro,request_count,,1558
2026-06-15,deepseek-v4-pro,output_tokens,0.000006,509973
2026-06-15,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,2255616
2026-06-15,deepseek-v4-flash,input_cache_miss_tokens,0.000001,300405
2026-06-15,deepseek-v4-flash,request_count,,76
2026-06-15,deepseek-v4-flash,output_tokens,0.000002,111284
2026-06-16,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,179448960
2026-06-16,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2904002
2026-06-16,deepseek-v4-pro,request_count,,1177
2026-06-16,deepseek-v4-pro,output_tokens,0.000006,659747
2026-06-16,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,51351296
2026-06-16,deepseek-v4-flash,input_cache_miss_tokens,0.000001,893067
2026-06-16,deepseek-v4-flash,request_count,,641
2026-06-16,deepseek-v4-flash,output_tokens,0.000002,349185
2026-06-17,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,288460160
2026-06-17,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2170979
2026-06-17,deepseek-v4-pro,request_count,,1738
2026-06-17,deepseek-v4-pro,output_tokens,0.000006,723124
2026-06-17,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,88655232
2026-06-17,deepseek-v4-flash,input_cache_miss_tokens,0.000001,674797
2026-06-17,deepseek-v4-flash,request_count,,505
2026-06-17,deepseek-v4-flash,output_tokens,0.000002,293726
2026-06-18,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,195724928
2026-06-18,deepseek-v4-pro,input_cache_miss_tokens,0.000003,524582
2026-06-18,deepseek-v4-pro,request_count,,882
2026-06-18,deepseek-v4-pro,output_tokens,0.000006,356436
2026-06-18,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,1080064
2026-06-18,deepseek-v4-flash,input_cache_miss_tokens,0.000001,231397
2026-06-18,deepseek-v4-flash,request_count,,47
2026-06-18,deepseek-v4-flash,output_tokens,0.000002,90554
2026-06-19,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,255516544
2026-06-19,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1686893
2026-06-19,deepseek-v4-pro,request_count,,1785
2026-06-19,deepseek-v4-pro,output_tokens,0.000006,660836
2026-06-19,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,166783488
2026-06-19,deepseek-v4-flash,input_cache_miss_tokens,0.000001,1537920
2026-06-19,deepseek-v4-flash,request_count,,1362
2026-06-19,deepseek-v4-flash,output_tokens,0.000002,998830
2026-06-20,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,234404736
2026-06-20,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1389481
2026-06-20,deepseek-v4-pro,request_count,,1434
2026-06-20,deepseek-v4-pro,output_tokens,0.000006,744776
2026-06-20,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,28683136
2026-06-20,deepseek-v4-flash,input_cache_miss_tokens,0.000001,1025838
2026-06-20,deepseek-v4-flash,request_count,,500
2026-06-20,deepseek-v4-flash,output_tokens,0.000002,359446
2026-06-21,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,89376128
2026-06-21,deepseek-v4-pro,input_cache_miss_tokens,0.000003,468565
2026-06-21,deepseek-v4-pro,request_count,,688
2026-06-21,deepseek-v4-pro,output_tokens,0.000006,252019
2026-06-21,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,8700416
2026-06-21,deepseek-v4-flash,input_cache_miss_tokens,0.000001,376019
2026-06-21,deepseek-v4-flash,request_count,,216
2026-06-21,deepseek-v4-flash,output_tokens,0.000002,112824
2026-06-22,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,103305856
2026-06-22,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1294178
2026-06-22,deepseek-v4-pro,request_count,,701
2026-06-22,deepseek-v4-pro,output_tokens,0.000006,328442
2026-06-22,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,222188672
2026-06-22,deepseek-v4-flash,input_cache_miss_tokens,0.000001,698378
2026-06-22,deepseek-v4-flash,request_count,,734
2026-06-22,deepseek-v4-flash,output_tokens,0.000002,354926
2026-06-23,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,329806208
2026-06-23,deepseek-v4-pro,input_cache_miss_tokens,0.000003,3336552
2026-06-23,deepseek-v4-pro,request_count,,2593
2026-06-23,deepseek-v4-pro,output_tokens,0.000006,947538
2026-06-23,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,164288256
2026-06-23,deepseek-v4-flash,input_cache_miss_tokens,0.000001,3435863
2026-06-23,deepseek-v4-flash,request_count,,2100
2026-06-23,deepseek-v4-flash,output_tokens,0.000002,1450152
2026-06-24,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,146627840
2026-06-24,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1807730
2026-06-24,deepseek-v4-pro,request_count,,1074
2026-06-24,deepseek-v4-pro,output_tokens,0.000006,475064
2026-06-24,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,11075968
2026-06-24,deepseek-v4-flash,input_cache_miss_tokens,0.000001,672077
2026-06-24,deepseek-v4-flash,request_count,,170
2026-06-24,deepseek-v4-flash,output_tokens,0.000002,150703
2026-06-25,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,221633280
2026-06-25,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2405260
2026-06-25,deepseek-v4-pro,request_count,,1389
2026-06-25,deepseek-v4-pro,output_tokens,0.000006,557372
2026-06-25,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,9139072
2026-06-25,deepseek-v4-flash,input_cache_miss_tokens,0.000001,585977
2026-06-25,deepseek-v4-flash,request_count,,206
2026-06-25,deepseek-v4-flash,output_tokens,0.000002,188396
2026-06-26,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,192386944
2026-06-26,deepseek-v4-pro,input_cache_miss_tokens,0.000003,997896
2026-06-26,deepseek-v4-pro,request_count,,1294
2026-06-26,deepseek-v4-pro,output_tokens,0.000006,483027
2026-06-26,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,53670144
2026-06-26,deepseek-v4-flash,input_cache_miss_tokens,0.000001,1713925
2026-06-26,deepseek-v4-flash,request_count,,971
2026-06-26,deepseek-v4-flash,output_tokens,0.000002,785116
2026-06-27,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,243880960
2026-06-27,deepseek-v4-pro,input_cache_miss_tokens,0.000003,1400749
2026-06-27,deepseek-v4-pro,request_count,,1722
2026-06-27,deepseek-v4-pro,output_tokens,0.000006,713440
2026-06-27,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,68031232
2026-06-27,deepseek-v4-flash,input_cache_miss_tokens,0.000001,3439707
2026-06-27,deepseek-v4-flash,request_count,,1226
2026-06-27,deepseek-v4-flash,output_tokens,0.000002,1386884
2026-06-28,deepseek-v4-pro,input_cache_hit_tokens,0.000000025,408370304
2026-06-28,deepseek-v4-pro,input_cache_miss_tokens,0.000003,2626863
2026-06-28,deepseek-v4-pro,request_count,,2434
2026-06-28,deepseek-v4-pro,output_tokens,0.000006,973758
2026-06-28,deepseek-v4-flash,input_cache_hit_tokens,0.00000002,12137344
2026-06-28,deepseek-v4-flash,input_cache_miss_tokens,0.000001,792581
2026-06-28,deepseek-v4-flash,request_count,,257
2026-06-28,deepseek-v4-flash,output_tokens,0.000002,215387
